地区,专业名称,科类,科类代表数字,批次,调整最高,调整最低
云南,中国语言文学类,文史,1,国家专项计划,639.9583731,625.700685
云南,公共管理类,文史,1,国家专项计划,652.545359,624.9356855
云南,劳动与社会保障,文史,1,国家专项计划,636.140845,618.9329335
云南,国际经济与贸易(国际组织人才基地班、与法学双学士学位项目),文史,1,本科批,670.2835123,655.395628
云南,外国语言文学类,理工,2,国家专项计划,653.7494982,637.7608762
云南,外国语言文学类(商务英语、翻译、英语、英语(与金融学专业双学士学位项目)、英语(与法学专业双学士学位项目)),文史,1,本科批,658.2340155,644.3180931
云南,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),文史,1,本科批,665.7920125,644.7519094
云南,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),理工,2,本科批,662.4066999,634.5795892
云南,政治学类,理工,2,国家专项计划,648.0693662,614.5009085
云南,政治学类(国际政治、政治学与行政学、政治学与行政学(与金融学专业双学士学位项目)、国际政治(与英语专业双学士学位项目)),文史,1,本科批,659.9410442,646.8897006
云南,法学类(法学、法学(与大数据专业双学士学位项目)、法学(涉外型卓越经贸法律人才实验班)),文史,1,本科批,665.0971691,645.3310039
云南,电子商务类,理工,2,国家专项计划,648.0693662,612.2014791
云南,精算学,理工,2,本科批,653.8261776,633.0621776
云南,经济学类(国际经济与贸易、财政学、税收学),文史,1,本科批,665.6544459,646.8792843
云南,经济学类(国际经济与贸易、财政学、税收学),理工,2,本科批,665.4398481,650.2128128
云南,统计学,理工,2,本科批,658.4623076,643.753837
云南,网络与新媒体,文史,1,国家专项计划,636.8718379,621.8130705
云南,金融学类(金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学),文史,1,本科批,667.4886564,648.4338267
云南,金融学类(金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学),理工,2,本科批,669.9123364,645.8162664
云南,金融科技,理工,2,本科批,662.4791418,636.753455
内蒙古,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),文史,1,本科批,623.7421904,601.0151953
内蒙古,朝鲜语(含与国贸专业双学士学位项目),文史,1,提前批,608.5461001,588.3785565
内蒙古,朝鲜语(含与国贸专业双学士学位项目),理工,2,提前批,631.9705931,601.9324565
内蒙古,精算学,理工,2,本科批,628.6223976,607.3412588
内蒙古,经济学类(国际经济与贸易、财政学、税收学),文史,1,本科批,621.8925594,604.6388653
内蒙古,金融学类(金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学),文史,1,本科批,634.3179523,609.0124386
内蒙古,金融学类(金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学),理工,2,本科批,637.3813335,609.0549282
内蒙古,金融工程,理工,2,本科批,624.5830698,593.6370258
内蒙古,金融数学,理工,2,本科批,631.6325287,609.7943735
吉林,俄语(含与国贸专业双学士学位项目),文史,1,提前批,598.7793927,575.9322027
吉林,俄语(含与国贸专业双学士学位项目),理工,2,提前批,627.2610026,605.4179092
吉林,国际经济与贸易(国际组织人才基地班、与法学双学士学位项目),文史,1,本科批,629.9903475,613.0262313
吉林,外国语言文学类(商务英语、翻译、英语、英语(与金融学专业双学士学位项目)、英语(与法学专业双学士学位项目)),文史,1,本科批,607.7476819,595.3428466
吉林,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),文史,1,本科批,623.9884715,598.9252373
吉林,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),理工,2,本科批,646.050485,615.9441544
吉林,德语,文史,1,提前批,606.4236734,581.4919752
吉林,政治学类(国际政治、政治学与行政学、政治学与行政学(与金融学专业双学士学位项目)、国际政治(与英语专业双学士学位项目)),文史,1,本科批,618.3874465,595.1467635
吉林,数据科学与大数据技术,理工,2,本科批,643.4702536,622.4294281
吉林,法学类(法学、法学(与大数据专业双学士学位项目)、法学(涉外型卓越经贸法律人才实验班)),文史,1,本科批,611.2440901,592.4109085
吉林,法语(含与国贸专业双学士学位项目),文史,1,提前批,611.2689696,586.494096
吉林,精算学,理工,2,本科批,638.9810598,615.0491732
吉林,经济学类(国际经济与贸易、财政学、税收学),文史,1,本科批,617.4118811,594.4839689
吉林,经济学类(国际经济与贸易、财政学、税收学),理工,2,本科批,646.2014958,626.9781293
吉林,西班牙语,理工,2,提前批,624.504803,608.3795265
吉林,金融学类(金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学),文史,1,本科批,630.9705071,602.7759184
吉林,金融学类(金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学),理工,2,本科批,648.8385171,626.4696872
吉林,金融工程(量化金融实验班),理工,2,本科批,665.5381139,635.2976645
吉林,金融数学,理工,2,本科批,643.5287948,620.0479616
四川,中国语言文学类,文史,1,国家专项计划,618.2430786,596.0145616
四川,人工智能,理工,2,国家专项计划,641.7957516,627.6485529
四川,俄语(含与国贸专业双学士学位项目),文史,1,提前批,620.374795,601.5098014
四川,公共管理类,文史,1,国家专项计划,612.0341658,594.4406269
四川,公共管理类(海关管理、行政管理、公共事业管理、文化产业管理),文史,1,本科批,626.2312487,609.5331703
四川,国际经济与贸易(国际组织人才基地班、与法学双学士学位项目),文史,1,本科批,635.4076616,615.6524789
四川,工商管理类,文史,1,国家专项计划,625.9055906,611.488324
四川,工商管理类,理工,2,国家专项计划,634.9242386,619.4025319
四川,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),文史,1,本科批,633.1690883,612.0662164
四川,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),理工,2,本科批,659.6645994,641.575129
四川,德语,理工,2,提前批,652.5377669,636.4325698
四川,政治学类,文史,1,国家专项计划,612.0341658,593.6370258
四川,数据科学与大数据技术,理工,2,本科批,666.5261876,643.1130022
四川,法学类(法学、法学(与大数据专业双学士学位项目)、法学(涉外型卓越经贸法律人才实验班)),文史,1,本科批,631.4423269,612.8615819
四川,法语(含与国贸专业双学士学位项目),理工,2,提前批,658.9682159,640.1320629
四川,电子商务类,理工,2,国家专项计划,634.3400687,611.6833876
四川,精算学,理工,2,本科批,668.0342836,643.3462097
四川,经济学类(国际经济与贸易、财政学、税收学),文史,1,本科批,634.7403803,615.2021687
四川,经济学类(国际经济与贸易、财政学、税收学),理工,2,本科批,672.2433863,650.9500546
四川,经济统计学,理工,2,本科批,664.2010283,644.117068
四川,越南语,文史,1,提前批,611.2282929,596.0145616
四川,金融学类(金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学),文史,1,本科批,636.5669447,615.1911418
四川,金融学类(金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学),理工,2,本科批,673.6084612,643.0111481
四川,金融工程,理工,2,本科批,680.6690283,650.9683374
宁夏,公共管理类(海关管理、行政管理、公共事业管理、文化产业管理),文史,1,本科批,601.2929792,586.8319035
宁夏,外国语言文学类(商务英语、翻译、英语、英语(与金融学专业双学士学位项目)、英语(与法学专业双学士学位项目)),文史,1,提前批,612.7706175,597.3712252
宁夏,外国语言文学类(商务英语、翻译、英语、英语(与金融学专业双学士学位项目)、英语(与法学专业双学士学位项目)),文史,1,本科批,618.9594892,591.0824193
宁夏,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),文史,1,提前批,618.4670255,598.7418094
宁夏,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),文史,1,本科批,632.2832018,596.6786782
宁夏,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),理工,2,提前批,594.1234826,571.9369333
宁夏,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),理工,2,本科批,574.4934998,548.5976978
宁夏,政治学类,文史,1,国家专项计划,601.9040297,573.2952788
宁夏,政治学类(国际政治、政治学与行政学、政治学与行政学(与金融学专业双学士学位项目)、国际政治(与英语专业双学士学位项目)),文史,1,提前批,613.5376172,596.6932667
宁夏,政治学类(国际政治、政治学与行政学、政治学与行政学(与金融学专业双学士学位项目)、国际政治(与英语专业双学士学位项目)),文史,1,本科批,617.5688867,597.8208544
宁夏,法学类(法学、法学(与大数据专业双学士学位项目)、法学(涉外型卓越经贸法律人才实验班)),文史,1,提前批,622.8909428,603.7949583
宁夏,法学类(法学、法学(与大数据专业双学士学位项目)、法学(涉外型卓越经贸法律人才实验班)),文史,1,本科批,630.427996,605.8481926
宁夏,法学类(法学、法学(与大数据专业双学士学位项目)、法学(涉外型卓越经贸法律人才实验班)),理工,2,提前批,594.7497198,575.3186561
宁夏,法学类(法学、法学(与大数据专业双学士学位项目)、法学(涉外型卓越经贸法律人才实验班)),理工,2,本科批,591.4423868,549.5758963
宁夏,电子商务类(电子商务、信息管理与信息系统),理工,2,提前批,588.1055644,571.7052757
宁夏,电子商务类(电子商务、信息管理与信息系统),理工,2,本科批,555.735847,531.9467015
宁夏,精算学,理工,2,提前批,595.6605463,576.208695
宁夏,精算学,理工,2,本科批,560.9021924,536.4605216
宁夏,经济学类(国际经济与贸易、财政学、税收学),文史,1,提前批,622.6097417,608.6506429
