地区,专业名称,科类,科类代表数字,批次,调整最高,调整最低
云南,中国语言文学类,文史,1,国家专项计划,1069.719766,2012.678372
云南,公共管理类,文史,1,国家专项计划,453.1895869,2049.949424
云南,劳动与社会保障,文史,1,国家专项计划,1295.763177,2333.685921
云南,国际经济与贸易(国际组织人才基地班、与法学双学士学位项目),文史,1,本科批,138,890.7683715
云南,外国语言文学类,理工,2,国家专项计划,4022.3849,5008.529287
云南,外国语言文学类(商务英语、翻译、英语、英语(与金融学专业双学士学位项目)、英语(与法学专业双学士学位项目)),文史,1,本科批,203.4,1064.317251
云南,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),文史,1,本科批,155.4,1005.721691
云南,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),理工,2,本科批,2228.857605,4105.043797
云南,政治学类,理工,2,国家专项计划,4968.036719,9005.623606
云南,政治学类(国际政治、政治学与行政学、政治学与行政学(与金融学专业双学士学位项目)、国际政治(与英语专业双学士学位项目)),文史,1,本科批,188.625,1014.392264
云南,法学类(法学、法学(与大数据专业双学士学位项目)、法学(涉外型卓越经贸法律人才实验班)),文史,1,本科批,165.7,999.3131761
云南,电子商务类,理工,2,国家专项计划,4968.036719,9722.199085
云南,精算学,理工,2,本科批,2530.745555,4154.962532
云南,经济学类(国际经济与贸易、财政学、税收学),文史,1,本科批,122.1,933.9967381
云南,经济学类(国际经济与贸易、财政学、税收学),理工,2,本科批,1527.981715,3184.26427
云南,统计学,理工,2,本科批,2792.794715,4050.230085
云南,网络与新媒体,文史,1,国家专项计划,1227.914613,2198.268306
云南,金融学类(金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学),文史,1,本科批,120.4,1004.40772
云南,金融学类(金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学),理工,2,本科批,1365.831056,3485.9575
云南,金融科技,理工,2,本科批,2852.297754,4302.249095
内蒙古,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),文史,1,本科批,97.4,974.1923355
内蒙古,朝鲜语(含与国贸专业双学士学位项目),文史,1,提前批,341.088159,1365.758231
内蒙古,朝鲜语(含与国贸专业双学士学位项目),理工,2,提前批,2168.189968,3589.544388
内蒙古,精算学,理工,2,本科批,1090.957417,2313.822354
内蒙古,经济学类(国际经济与贸易、财政学、税收学),文史,1,本科批,105.8,965.663811
内蒙古,金融学类(金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学),文史,1,本科批,58.8,875.6100654
内蒙古,金融学类(金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学),理工,2,本科批,957.2002673,2945.442359
内蒙古,金融工程,理工,2,本科批,1305.687536,3244.506177
内蒙古,金融数学,理工,2,本科批,1241.835223,2179.904289
吉林,俄语(含与国贸专业双学士学位项目),文史,1,提前批,345.4459252,1348.598515
吉林,俄语(含与国贸专业双学士学位项目),理工,2,提前批,1990.948879,3433.088728
吉林,国际经济与贸易(国际组织人才基地班、与法学双学士学位项目),文史,1,本科批,131,876.8608622
吉林,外国语言文学类(商务英语、翻译、英语、英语(与金融学专业双学士学位项目)、英语(与法学专业双学士学位项目)),文史,1,本科批,200.5,1042.445855
吉林,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),文史,1,本科批,119.6,1062.546582
吉林,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),理工,2,本科批,908.2883538,2717.352977
吉林,德语,文史,1,提前批,250.9,1264.641317
吉林,政治学类(国际政治、政治学与行政学、政治学与行政学(与金融学专业双学士学位项目)、国际政治(与英语专业双学士学位项目)),文史,1,本科批,198,1049.765547
吉林,数据科学与大数据技术,理工,2,本科批,1481.69727,2418.546294
吉林,法学类(法学、法学(与大数据专业双学士学位项目)、法学(涉外型卓越经贸法律人才实验班)),文史,1,本科批,147.7,1056.670759
吉林,法语(含与国贸专业双学士学位项目),文史,1,提前批,221.7,1016.454193
吉林,精算学,理工,2,本科批,1298.664519,2723.868789
吉林,经济学类(国际经济与贸易、财政学、税收学),文史,1,本科批,110.1,923.5050369
吉林,经济学类(国际经济与贸易、财政学、税收学),理工,2,本科批,1493.986584,2832.411183
吉林,西班牙语,理工,2,提前批,1954.234673,2906.134843
吉林,金融学类(金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学),文史,1,本科批,138.2,1019.330136
吉林,金融学类(金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学),理工,2,本科批,515.1985198,2469.168918
吉林,金融工程(量化金融实验班),理工,2,本科批,795.8357625,2214.462779
吉林,金融数学,理工,2,本科批,1130.856579,2482.803942
四川,中国语言文学类,文史,1,国家专项计划,880.0149337,2454.115028
四川,人工智能,理工,2,国家专项计划,11572.1723,12588.53879
四川,俄语(含与国贸专业双学士学位项目),文史,1,提前批,673.2221182,2177.902054
四川,公共管理类,文史,1,国家专项计划,1369.27825,2722.839031
四川,公共管理类(海关管理、行政管理、公共事业管理、文化产业管理),文史,1,本科批,357.0669013,1437.612595
四川,国际经济与贸易(国际组织人才基地班、与法学双学士学位项目),文史,1,本科批,161,1090.848414
四川,工商管理类,文史,1,国家专项计划,370.7351128,1314.054076
四川,工商管理类,理工,2,国家专项计划,14172.33691,15847.44449
四川,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),文史,1,本科批,209.9,1314.354888
四川,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),理工,2,本科批,4787.387667,7525.839155
四川,德语,理工,2,提前批,9255.45174,10055.764
四川,政治学类,文史,1,国家专项计划,1369.27825,2813.792672
四川,数据科学与大数据技术,理工,2,本科批,4439.998455,7069.403207
四川,法学类(法学、法学(与大数据专业双学士学位项目)、法学(涉外型卓越经贸法律人才实验班)),文史,1,本科批,230.6,1269.252101
四川,法语(含与国贸专业双学士学位项目),理工,2,提前批,5804.565999,7964.428935
四川,电子商务类,理工,2,国家专项计划,14934.19534,20548.31556
四川,精算学,理工,2,本科批,2466.167017,5936.827229
四川,经济学类(国际经济与贸易、财政学、税收学),文史,1,本科批,183.375,1210.418812
四川,经济学类(国际经济与贸易、财政学、税收学),理工,2,本科批,2100.165007,4277.706352
四川,经济统计学,理工,2,本科批,4892.803073,6232.367606
四川,越南语,文史,1,提前批,1499.983138,2454.115028
四川,金融学类(金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学),文史,1,本科批,191.2,1426.344747
四川,金融学类(金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学),理工,2,本科批,3535.01453,6156.959738
四川,金融工程,理工,2,本科批,2026.092512,5141.651925
宁夏,公共管理类(海关管理、行政管理、公共事业管理、文化产业管理),文史,1,本科批,139.25,924.3326107
宁夏,外国语言文学类(商务英语、翻译、英语、英语(与金融学专业双学士学位项目)、英语(与法学专业双学士学位项目)),文史,1,提前批,,
宁夏,外国语言文学类(商务英语、翻译、英语、英语(与金融学专业双学士学位项目)、英语(与法学专业双学士学位项目)),文史,1,本科批,119,931.7598127
宁夏,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),文史,1,本科批,98,874.2527711
宁夏,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),理工,2,提前批,395.4193488,1490.549836
宁夏,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),理工,2,本科批,1103.289793,2401.613315
宁夏,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),理工,2,本科批,,
宁夏,政治学类,文史,1,国家专项计划,171.5,1176.466071
宁夏,政治学类(国际政治、政治学与行政学、政治学与行政学(与金融学专业双学士学位项目)、国际政治(与英语专业双学士学位项目)),文史,1,本科批,109.5,777.2357712
宁夏,政治学类(国际政治、政治学与行政学、政治学与行政学(与金融学专业双学士学位项目)、国际政治(与英语专业双学士学位项目)),文史,1,本科批,,
宁夏,法学类(法学、法学(与大数据专业双学士学位项目)、法学(涉外型卓越经贸法律人才实验班)),文史,1,本科批,75.25,870.7071846
宁夏,法学类(法学、法学(与大数据专业双学士学位项目)、法学(涉外型卓越经贸法律人才实验班)),理工,2,提前批,370.0012308,1405.212969
宁夏,法学类(法学、法学(与大数据专业双学士学位项目)、法学(涉外型卓越经贸法律人才实验班)),理工,2,本科批,554.7206006,2383.880028
宁夏,法学类(法学、法学(与大数据专业双学士学位项目)、法学(涉外型卓越经贸法律人才实验班)),理工,2,本科批,,
宁夏,电子商务类(电子商务、信息管理与信息系统),理工,2,提前批,425.9193488,1422.198479
宁夏,电子商务类(电子商务、信息管理与信息系统),理工,2,本科批,1721.565862,3781.085939
宁夏,精算学,理工,2,提前批,298.5560168,1375.171045
宁夏,精算学,理工,2,本科批,1417.18764,3619.679884
宁夏,经济学类(国际经济与贸易、财政学、税收学),文史,1,本科批,78.5,792.6841334
宁夏,经济学类(国际经济与贸易、财政学、税收学),理工,2,提前批,204.5,1313.978254
宁夏,经济学类(国际经济与贸易、财政学、税收学),理工,2,本科批,978.233391,2410.07174
宁夏,经济学类(国际经济与贸易、财政学、税收学),理工,2,本科批,,
